360.0,1.9273875717
365.0,1.9238579126488
386.4,1.9087509715511
407.7,1.8969154533516
429.1,1.8873154178686
450.4,1.8794479278536
471.8,1.872834777245
493.1,1.8672545803613
514.5,1.8624477642147
535.8,1.8583057334963
557.2,1.8546719430893
578.5,1.851489701818
599.9,1.8486573044273
621.2,1.8461442638546
642.6,1.8438807039482
663.9,1.8418502536359
685.3,1.8400027467965
706.6,1.838329778672
728.0,1.8367940196279
749.3,1.835391713066
770.7,1.8340942340165
792.0,1.8329006010781
813.4,1.8317882907472
834.7,1.8307580020386
856.1,1.8297916078069
877.4,1.8288908301086
898.8,1.8280407841058
920.1,1.8272438121188
941.5,1.8264874683148
962.8,1.825774464986
984.2,1.825094222384
